개체번호,잎 수(장),지상부 길이(mm),지하부길이(mm),생중량(g),,
1,13,95,110,4.68,,
2,11,80,163,7,,
3,9,247,40,1.43,,
4,14,70,215,4.91,,
5,18,110,125,4.79,,
6,25,115,260,21.56,,
7,53,90,350,27.52,,
8,14,71,140,4.89,,
10,9,75,65,1.58,,
11,16,100,180,4.84,,
12,7,38,35,0.54,,
13,9,50,68,0.78,,
14,8,29,38,0.31,,
15,8,70,25,0.41,,
16,12,135,85,1.38,,
17,6,6,31,0.23,,
18,12,115,175,5.5,,
19,14,60,170,3.6,,
20,7,85,40,0.84,,
21,8,105,50,1.09,,
22,7,65,100,0.88,,
23,6,50,50,0.52,,
24,2,45,25,0.3,,
27,8,75,115,1.24,,
28,6,45,45,0.99,,
29,5,45,20,0.48,,
30,14,80,85,2.68,,
31,6,44,20,0.35,,
32,11,63,80,2.73,,
